The Union Cabinet chaired by Prime Minister Shri Narendra Modi has approved the proposal for closure of Autonomous Bodies, namely, Rashtriya Arogya Nidhi (RAN) and Jansankhya Sthirata Kosh (JSK) and the functions are proposed to be vested in Department of Health & Family Welfare (DoHFW).	પ્રધાનમંત્રી શ્રી નરેન્દ્ર મોદીની અધ્યક્ષતામાં મંત્રીમંડળે સ્વાસ્થ્ય અને પરિવાર કલ્યાણ વિભાગ અંતર્ગત સ્વાયત્ત સંસ્થાઓને તર્કસંગત બનાવવાની મંજૂરી આપી છે.
The rationalization of Autonomous Bodies under Department of Health & Family Welfare will involve inter-ministerial consultations and review of existing bye laws of these bodies.	આ સંસ્થાઓમાં રાષ્ટ્રીય આરોગ્ય નિધિ (આરએએન) અને જનસંખ્યા સ્થિરતા કોષ (જેએસકે) સામેલ છે.
The time frame for implementation is one year,	તેનાં કામકાજને સ્વાસ્થ્ય અને પરિવાર કલ્યાણ વિભાગ અંતર્ગત રાખવાનો પ્રસ્તાવ પણ છે.
Rashtriya Arogya Nidhi (RAN) was set up as a registered society to provide financial medical assistance to poor patients receiving treatment in designated central government hospitals.	રાષ્ટ્રીય આરોગ્ય નિધિની રચના એક નોંધાયેલી સોસાયટી સ્વરૂપે કરવામાં આવી હતી, જેથી કેન્દ્રીય સરકારી હોસ્પિટલોમાં સારવાર કરાવતાં ગરીબ દર્દીઓને નાણાકીય ચિકિત્સા સહાયતા આપી શકાશે.
An advance is placed with the Medical Superintendents of such hospitals who then provide assistance on a case to case basis.	આ હોસ્પિટલનાં તબીબી નિરીક્ષકોને આગોતરૂ ભંડોળ આપવામાં આવશે, જે દરેક કેસને જોઈને સહાયતા પ્રદાન કરશે.
Since the DoHFW provides funds to the hospitals, the grants can be given from the Department to the hospital directly.	સ્વાસ્થ્ય અને પરિવાર કલ્યાણ વિભાગ હોસ્પિટલોને ભંડોળ પ્રદાન કરે છે એટલે આ વિભાગ દ્વારા હોસ્પિટલોને સહાય સીધી આપી શકાય છે.
RAN functions can, therefore, be vested in DoHFW.	આ રીતે આરએએનનું કામકાજ સ્વાસ્થ્ય અને પરિવાર કલ્યાણ વિભાગને અંતર્ગત લાવવામાં આવશે.
Managing Committee of RAN Society will meet to dissolve the Autonomous Body (AB) as per provisions of Societies Registration Act, 1860 (SRA).	આરએએન સોસાયટીની વ્યવસ્થાપન સમિતિ સોસાયટી નોંધણી કાયદા, 1860ની જોગવાઈઓ અંતર્ગત સ્વાયત્ત સંસ્થાઓ રદ કરવા માટે બેઠક કરશે.
In addition to this, Health Minister’s Cancer Patient Fund (HMCPF) shall also be transferred to the Department.	આ ઉપરાંત સ્વાસ્થ્ય મંત્રી કેન્સર દર્દીઓ માટેનાં ભંડોળ(એચએમસીપીએફ)ને પણ વિભાગમાં સ્થળાંતરિત કરવામાં આવશે.
The timeline required for this is one year.	આ માટે એક વર્ષનો સમય નક્કી કરવામાં આવ્યો છે.
Jansankhya Sthirata Kosh (JSK) was set up with a corpus grant of Rs.100 crores in the year 2003 to raise awareness for population stabilization strategies.	જનસંખ્યા સ્થિરતા કોષ (જેએસકે) વર્ષ 2003માં 100 કરોડ રૂપિયાનાં ભંડોળ સાથે સ્થાપિત કરવામાં આવ્યો હતો.
JSK organizes various activities with target populations as a part of its mandate.	તેનો ઉદ્દેશ જનસંખ્યા સ્થિરીકરણ વ્યૂહરચનાઓ પ્રત્યે જાગૃતિ વધારવાનો હતો.
There has been no continuous funding to JSK from the Ministry.	મંત્રાલય દ્વારા જેએસકેને સતત નાણાકીય ભંડોળ આપવામાં આવતું નથી.
Population stabilization strategies require private and corporate funding, which can be accessed through JSK.	જનસંખ્યા સ્થિરીકરણ વ્યૂહરચનાઓને ખાનગી અને કોર્પોરેટ ભંડોળની જરૂર હોય છે, જે જેએસકે દ્વારા સંભવ છે.
Although, JSK will continue to play a significant role in population stabilization strategies, its existence as an Autonomous Body is not necessary.	જેએસકે જનસંખ્યા સ્થિરીકરણ વ્યૂહરચનાઓમાં મહત્ત્વપૂર્ણ ભૂમિકા અદા કરશે, છતાં પણ એક સ્વાયત્ત સંસ્થા સ્વરૂપે તેનું અસ્તિત્વ જરૂરી નહીં હોય.
Hence, JSK as an Autonomous Body can be closed as it can be administered by the Department as a fund.	આ રીતે એક સ્વાયત્ત સંસ્થા સ્વરૂપે જેએસકેને બંધ કરી શકાય છે, કારણ કે ભંડોળ સ્વરૂપે તેનું કામકાજ વિભાગ દ્વારા થઇ શકે છે.
Background:	પૃષ્ઠભૂમિ:
The main concern of the Government is that ABs are required to be reviewed and rationalised with a view to improve their outcomes, effectiveness and efficiency, utilisation of financial and human resources, synergy, governance and relevance in current policy and programme context, with improved monitoring and oversight.	સરકારનો મુખ્ય પ્રયાસ એ છે કે સ્વાયત્ત સંસ્થાઓની સમીક્ષા કરવામાં આવે અને તેમને તર્કસંગત બનાવવામાં આવે, જેથી તેનાં કામકાજ, તેની અસર અને કાર્યકુશળતામાં સુધારો થાય, નાણાકીય અને માનવીય સંસાધનોનો ઉચિત ઉપયોગ થાય, વર્તમાન નીતિમાં તેમની પ્રાસંગિકતા અને વહીવટીમાં વધારો થાય તથા તેમનાં પર યોગ્ય રીતે નજર રાખી શકાય.
Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	પ્રધાનમંત્રી નરેન્દ્ર મોદીએ નેધરલેંડના મહારાણી મહામહિમ મેક્સિમા સાથે મુલાકાત કરી હતી.
Queen Maxima is visiting India in her capacity as UN Secretary-General’s Special Advocate for Inclusive Finance for Development.	મહારાણી મેક્સિમા વિકાસના સમાવેશીઅર્થતંત્ર માટેના સંયુક્તરાષ્ટ્રના મહાસચિવના વિશેષ દૂત તરીકે ભારતની યાત્રા પર છે.
Prime Minister Modi and Queen Maxima discussed the various initiatives taken in the last few years by the Government of India for enhancing financial inclusion in India, such as Jan Dhan Yojana, Pradhan Mantri Jeevan Jyoti Bima Yojana, Pradhan Mantri Suraksha Bima Yojana, and Atal Pension Yojana.	પ્રધાનમંત્રી મોદી અને મહારાણી મેક્સિમાએ ભારતમાં નાણાકીય સમાવેશીતામાં વૃદ્ધિ કરવા માટે ભારત સરકાર દ્વારા છેલ્લા કેટલાક વર્ષો દરમિયાન લેવામાં આવેલા વિવિધ પગલાવિશે ચર્ચા કરીહતી જેમાંજન ધન યોજના, પ્રધાનમંત્રી જીવન જ્યોતિ વીમા યોજના, પ્રધાનમંત્રી સુરક્ષા વીમા યોજના અને અટલ પેન્શન યોજનાનો સમાવેશ થાય છે.
Queen Maxima appreciated the progress achieved by these initiatives.	મહારાણી મેક્સિમાએ આ પગલાઓ દ્વારા પ્રાપ્તથયેલી પ્રગતિની પ્રશંસા કરી.
The two leaders also discussed global development finance.	બંને નેતાઓએ વૈશ્વિક નાણાકીય વિકાસ અંગે પણ ચર્ચા કરી.
The Union Cabinet, chaired by the Prime Minister Shri Narendra Modi, has given its ex-post facto approval for amendments to Section 44 and consequential amendments of the Lokpal and Lokayuktas Act, 2013 by introducing the Lokpal and Lokayuktas (Amendment) Bill, 2016 in the Parliament.	પ્રધાનમંત્રી શ્રી નરેન્દ્ર મોદીની અધ્યક્ષતામાં કેન્દ્રીય મંત્રીમંડળે સંસદમાં લોકપાલ અને લોકાયુક્ત (સુધારા) ખરડો, 2016 રજૂ કરીને લોકપાલ અને લોકાયુક્ત કાયદા, 2013ની કલમ 44 અને પરિણામરૂપ સંશોધનો માટે પૂર્વવતી અસર સાથે મંજૂરી આપી છે.
The approved amendments will address concerns and apprehensions expressed by different categories of public servants and addresses the difficulties being faced in implementing the provision of section 44 of the Lokpal and Lokayuktas Act, 2013.	મંજૂર થયેલા સુધારા સરકારી કર્મચારીઓની વિવિધ કેટેગરીઓ દ્વારા વ્યક્ત થયેલી ચિંતાઓ અને આશંકાઓનું સમાધાન કરશે તથા લોકપાલ અને લોકાયુક્ત કાયદા, 2013ની કલમ 44ની જોગવાઈનો અમલ કરવામાં પડતી મુશ્કેલીઓ દૂર કરશે.
On the occasion of Ambedkar Jayanti today, Prime Minister Narendra Modi inaugurated a Health and Wellness Centre, to mark the launch of the Union Government’s ambitious Health Assurance Programme – Ayushman Bharat.	પ્રધાનમંત્રી શ્રી નરેન્દ્ર મોદીએ આંબેડકર જયંતી પર આજે કેન્દ્ર સરકારનાં મહત્ત્વાકાંક્ષી સ્વાસ્થ્ય સુરક્ષા કાર્યક્રમ આયુષ્માન ભારત શરૂ કરવાનાં પ્રસંગે હેલ્થ અને વેલનેસ સેન્ટર (સ્વાસ્થ્ય અને સુખાકારી કેન્દ્ર)નું ઉદઘાટન કર્યું હતું.
The Centre was inaugurated at Jangla Development Hub, in the aspirational district of Bijapur in Chhattisgarh.	આ કેન્દ્રનું ઉદઘાટન છત્તીસગઢમાં બીજાપુરનાં મહત્વાકાંક્ષી જિલ્લામાં જગ્લા વિકાસ હબમાં કર્યું હતું.
In the course of over one hour, the Prime Minister interacted with a number of people, and was briefed on several development initiatives at the development hub.	એક કલાકથી વધારે સમય દરમિયાન પ્રધાનમંત્રીએ મોટી સંખ્યામાં લોકો સાથે વાતચીત કરી હતી અને તેમને વિકાસ હબમાં ઘણી વિકાસલક્ષી પહેલોની જાણકારી આપી હતી.
At the inauguration of the Health and Wellness Centre, he interacted with ASHA workers.	હેલ્થ એન્ડ વેલનેસ સેન્ટરનાં ઉદઘાટન પ્રસંગે તેમણે આશા કાર્યકર્તાઓ સાથે વાતચીત કરી હતી.
He visited a model Anganwadi Centre, and interacted with Anganwadi workers and beneficiary children of Poshan Abhiyan.	તેમણે એક આદર્શ આંગણવાડી કેન્દ્રની મુલાકાત લીધી હતી તથા પોષણ અભિયાનનાં આંગણવાડી કાર્યકર્તાઓ અને લાભાર્થી બાળકો સાથે વાતચીત કરી હતી.
He visited a Haat Bazaar Health Kiosk and interacted with health workers.	તેમણે હાટ બાઝાર કિઓસ્કની મુલાકાત લીધી હતી અને સ્વાસ્થ્ય કાર્યકર્તાઓ સાથે વાતચીત કરી હતી.
The Prime Minister then arrived at the venue of the public meeting.	ત્યારબાદ પ્રધાનમંત્રી જનસભાનાં સ્થળે પહોંચ્યાં હતાં.
He launched the Van Dhan Yojana, which aims at empowering tribal communities.	અહીં તેમણે વન ધન યોજનાનો શુભારંભ કરાવ્યો હતો, જેનો ઉદ્દેશ આદિવાસી સમુદાયોને સશક્ત કરવાનો છે.
It envisages a mechanism for marketing of Minor Forest Produce through Minimum Support Price and development of value chain for MFP.	તેમાં લઘુતમ ટેકાનાં ભાવ મારફતે માઇનોર ફોરેસ્ટ પ્રોડ્યુસનાં માર્કેટિંગ માટે અને એમએફપી માટે મુલ્ય સાંકળ વિકસાવવાની વ્યવસ્થા ઊભી કરવાની કલ્પના કરવામાં આવી છે.
Via video conference, the Prime Minister dedicated to the nation, the Bhanupratappur-Gudum Railway Line.	પ્રધાનમંત્રીએ વીડિયો કોન્ફરન્સ મારફતે ભાનુપ્રતાપપુર-ગુડુમ રેલવે લાઇન દેશને અર્પણ કરી હતી.
He flagged off a train between Dalli Rajhara and Bhanupratappur.	તેમણે ડાલ્લી રાજહારા અને ભાનુપ્રતાપપુર વચ્ચેની ટ્રેનને લીલી ઝંડી આપી હતી.
